con_code,name,concept_name
600211.SH,西藏药业,特色药
000999.SZ,华润三九,特色药
002603.SZ,以岭药业,特色药
600422.SH,昆药集团,特色药
603439.SH,三力制药,特色药
002864.SZ,盘龙药业,特色药
003020.SZ,立方制药,特色药
300026.SZ,红日药业,特色药
002550.SZ,千红制药,特色药
002287.SZ,奇正藏药,特色药
603707.SH,健友股份,特色药
002399.SZ,海普瑞,特色药
603207.SH,小方制药,特色药
300181.SZ,佐力药业,特色药
300039.SZ,上海凯宝,特色药
688505.SH,复旦张江,特色药
002728.SZ,特一药业,特色药
002424.SZ,ST百灵,特色药
300158.SZ,振东制药,特色药
002019.SZ,亿帆医药,特色药
002219.SZ,新里程,特色药
002675.SZ,东诚药业,特色药
603567.SH,珍宝岛,特色药
603367.SH,辰欣药业,特色药
603123.SH,翠微股份,零售概念
603193.SH,润本股份,零售概念
300255.SZ,常山药业,零售概念
603031.SH,安孚科技,零售概念
600941.SH,中国移动,零售概念
600009.SH,上海机场,零售概念
600018.SH,上港集团,零售概念
600029.SH,南方航空,零售概念
600694.SH,大商股份,零售概念
601888.SH,中国中免,零售概念
002919.SZ,名臣健康,零售概念
600420.SH,国药现代,零售概念
600185.SH,珠免集团,零售概念
001328.SZ,登康口腔,零售概念
300110.SZ,华仁药业,零售概念
000501.SZ,武商集团,零售概念
002607.SZ,中公教育,零售概念
600655.SH,豫园股份,零售概念
601021.SH,春秋航空,零售概念
603605.SH,珀莱雅,零售概念
600865.SH,百大集团,零售概念
688089.SH,嘉必优,零售概念
600859.SH,王府井,零售概念
300896.SZ,爱美客,零售概念
301371.SZ,敷尔佳,零售概念
002024.SZ,ST易购,零售概念
600515.SH,海南机场,零售概念
600315.SH,上海家化,零售概念
300856.SZ,科思股份,零售概念
600712.SH,南宁百货,零售概念
688363.SH,华熙生物,零售概念
600628.SH,新世界,零售概念
600257.SH,大湖股份,零售概念
000417.SZ,合百集团,零售概念
300955.SZ,嘉亨家化,零售概念
300957.SZ,贝泰妮,零售概念
002612.SZ,朗姿股份,零售概念
001979.SZ,招商蛇口,零售概念
300849.SZ,锦盛新材,零售概念
603238.SH,诺邦股份,零售概念
600828.SH,茂业商业,零售概念
002243.SZ,力合科创,零售概念
600223.SH,福瑞达,零售概念
000796.SZ,凯撒旅业,零售概念
600814.SH,杭州解百,零售概念
002900.SZ,哈三联,零售概念
603499.SH,翔港科技,零售概念
002094.SZ,青岛金王,零售概念
603630.SH,拉芳家化,零售概念
300740.SZ,水羊股份,零售概念
002163.SZ,海南发展,零售概念
600697.SH,欧亚集团,零售概念
002187.SZ,广百股份,零售概念
603998.SH,方盛制药,零售概念
603983.SH,丸美生物,零售概念
000813.SZ,德展健康,零售概念
300132.SZ,青松股份,零售概念
300792.SZ,壹网壹创,零售概念
002696.SZ,百洋股份,零售概念
002404.SZ,嘉欣丝绸,零售概念
000524.SZ,岭南控股,零售概念
600249.SH,两面针,零售概念
002229.SZ,鸿博股份,文娱消费
603258.SH,电魂网络,文娱消费
600959.SH,江苏有线,文娱消费
300113.SZ,顺网科技,文娱消费
300005.SZ,探路者,文娱消费
601595.SH,上海电影,文娱消费
300770.SZ,新媒股份,文娱消费
603081.SH,大丰实业,文娱消费
600138.SH,中青旅,文娱消费
300031.SZ,宝通科技,文娱消费
603444.SH,吉比特,文娱消费
002059.SZ,云南旅游,文娱消费
002605.SZ,姚记科技,文娱消费
603721.SH,*ST天择,文娱消费
600358.SH,ST联合,文娱消费
600258.SH,首旅酒店,文娱消费
600373.SH,中文传媒,文娱消费
600593.SH,大连圣亚,文娱消费
002739.SZ,万达电影,文娱消费
002517.SZ,恺英网络,文娱消费
002624.SZ,完美世界,文娱消费
603000.SH,人民网,文娱消费
600977.SH,中国电影,文娱消费
300144.SZ,宋城演艺,文娱消费
002707.SZ,众信旅游,文娱消费
002555.SZ,三七互娱,文娱消费
301262.SZ,海看股份,文娱消费
300494.SZ,盛天网络,文娱消费
300533.SZ,冰川网络,文娱消费
600637.SH,东方明珠,文娱消费
000156.SZ,华数传媒,文娱消费
300413.SZ,芒果超媒,文娱消费
002174.SZ,游族网络,文娱消费
600088.SH,中视传媒,文娱消费
600037.SH,歌华有线,文娱消费
002558.SZ,巨人网络,文娱消费
000802.SZ,北京文化,文娱消费
002027.SZ,分众传媒,文娱消费
002354.SZ,天娱数科,文娱消费
000917.SZ,电广传媒,文娱消费
300859.SZ,西域旅游,文娱消费
300418.SZ,昆仑万维,文娱消费
600576.SH,祥源文旅,文娱消费
603103.SH,横店影视,文娱消费
002615.SZ,哈尔斯,文娱消费
002627.SZ,三峡旅游,文娱消费
603136.SH,天目湖,文娱消费
605080.SH,浙江自然,文娱消费
600054.SH,黄山旅游,文娱消费
002033.SZ,丽江股份,文娱消费
300291.SZ,百纳千成,文娱消费
300133.SZ,华策影视,文娱消费
000796.SZ,凯撒旅业,文娱消费
300251.SZ,光线传媒,文娱消费
300315.SZ,掌趣科技,文娱消费
002343.SZ,慈文传媒,文娱消费
600880.SH,博瑞传播,文娱消费
600749.SH,西藏旅游,文娱消费
300027.SZ,华谊兄弟,文娱消费
300364.SZ,中文在线,文娱消费
002292.SZ,奥飞娱乐,文娱消费
300703.SZ,创源股份,文娱消费
300052.SZ,ST中青宝,文娱消费
002291.SZ,遥望科技,文娱消费
300299.SZ,富春股份,文娱消费
300058.SZ,蓝色光标,文娱消费
300528.SZ,幸福蓝海,文娱消费
300182.SZ,捷成股份,文娱消费
002235.SZ,安妮股份,文娱消费
603199.SH,九华旅游,文娱消费
000888.SZ,峨眉山Ａ,文娱消费
603533.SH,掌阅科技,文娱消费
002117.SZ,东港股份,文娱消费
000892.SZ,欢瑞世纪,文娱消费
600706.SH,曲江文旅,文娱消费
603908.SH,牧高笛,文娱消费
001330.SZ,博纳影业,文娱消费
002780.SZ,三夫户外,文娱消费
002858.SZ,力盛体育,文娱消费
300043.SZ,星辉娱乐,文娱消费
601599.SH,浙文影业,文娱消费
000524.SZ,岭南控股,文娱消费
300426.SZ,华智数媒,文娱消费
300651.SZ,金陵体育,文娱消费
002159.SZ,三特索道,文娱消费
605099.SH,共创草坪,文娱消费
000610.SZ,西安旅游,文娱消费
600158.SH,中体产业,文娱消费
000978.SZ,桂林旅游,文娱消费
605299.SH,舒华体育,文娱消费
002181.SZ,粤 传 媒,文娱消费
002905.SZ,金逸影视,文娱消费
000729.SZ,燕京啤酒,味蕾经济
002650.SZ,ST加加,味蕾经济
600737.SH,中粮糖业,味蕾经济
603076.SH,乐惠国际,味蕾经济
002461.SZ,珠江啤酒,味蕾经济
603345.SH,安井食品,味蕾经济
605089.SH,味知香,味蕾经济
300012.SZ,华测检测,味蕾经济
600519.SH,贵州茅台,味蕾经济
600573.SH,惠泉啤酒,味蕾经济
002967.SZ,广电计量,味蕾经济
600887.SH,伊利股份,味蕾经济
605077.SH,华康股份,味蕾经济
601579.SH,会稽山,味蕾经济
002507.SZ,涪陵榨菜,味蕾经济
600419.SH,天润乳业,味蕾经济
603043.SH,广州酒家,味蕾经济
300908.SZ,仲景食品,味蕾经济
603288.SH,海天味业,味蕾经济
600132.SH,重庆啤酒,味蕾经济
600186.SH,莲花控股,味蕾经济
600600.SH,青岛啤酒,味蕾经济
002286.SZ,保龄宝,味蕾经济
000858.SZ,五 粮 液,味蕾经济
300797.SZ,钢研纳克,味蕾经济
000568.SZ,泸州老窖,味蕾经济
600872.SH,中炬高新,味蕾经济
002946.SZ,新乳业,味蕾经济
600809.SH,山西汾酒,味蕾经济
002216.SZ,三全食品,味蕾经济
600597.SH,光明乳业,味蕾经济
600305.SH,恒顺醋业,味蕾经济
300511.SZ,雪榕生物,味蕾经济
603755.SH,日辰股份,味蕾经济
605337.SH,李子园,味蕾经济
600059.SH,古越龙山,味蕾经济
600559.SH,老白干酒,味蕾经济
605016.SH,百龙创园,味蕾经济
603317.SH,天味食品,味蕾经济
600429.SH,三元股份,味蕾经济
600197.SH,伊力特,味蕾经济
600882.SH,妙可蓝多,味蕾经济
603198.SH,迎驾贡酒,味蕾经济
002304.SZ,洋河股份,味蕾经济
605179.SH,一鸣食品,味蕾经济
300898.SZ,熊猫乳品,味蕾经济
000895.SZ,双汇发展,味蕾经济
002030.SZ,达安基因,味蕾经济
603589.SH,口子窖,味蕾经济
001318.SZ,阳光乳业,味蕾经济
000929.SZ,*ST兰黄,味蕾经济
603299.SH,苏盐井神,味蕾经济
600702.SH,舍得酒业,味蕾经济
603231.SH,索宝蛋白,味蕾经济
600328.SH,中盐化工,味蕾经济
001215.SZ,千味央厨,味蕾经济
603027.SH,千禾味业,味蕾经济
600779.SH,水井坊,味蕾经济
002646.SZ,天佑德酒,味蕾经济
000596.SZ,古井贡酒,味蕾经济
002732.SZ,燕塘乳业,味蕾经济
600199.SH,金种子酒,味蕾经济
300138.SZ,晨光生物,味蕾经济
301159.SZ,三维天地,味蕾经济
002481.SZ,双塔食品,味蕾经济
600929.SH,雪天盐业,味蕾经济
300887.SZ,谱尼测试,味蕾经济
301206.SZ,三元生物,味蕾经济
002166.SZ,莱茵生物,味蕾经济
920786.BJ,骑士乳业,味蕾经济
002726.SZ,龙大美食,味蕾经济
603696.SH,安记食品,味蕾经济
300239.SZ,东宝生物,味蕾经济
300942.SZ,易瑞生物,味蕾经济
603536.SH,惠发食品,味蕾经济
002330.SZ,得利斯,味蕾经济
603020.SH,爱普股份,味蕾经济
603369.SH,今世缘,味蕾经济
603968.SH,醋化股份,味蕾经济
600238.SH,*ST椰岛,味蕾经济
301228.SZ,实朴检测,味蕾经济
600696.SH,*ST岩石,味蕾经济
002910.SZ,庄园牧场,味蕾经济
002702.SZ,海欣食品,味蕾经济
605388.SH,均瑶健康,味蕾经济
002329.SZ,皇氏集团,味蕾经济
300813.SZ,泰林生物,味蕾经济
002597.SZ,金禾实业,味蕾经济
000995.SZ,皇台酒业,味蕾经济
002495.SZ,佳隆股份,味蕾经济
300829.SZ,金丹科技,味蕾经济
300632.SZ,光莆股份,新消费
603398.SH,*ST沐邦,新消费
300741.SZ,华宝股份,新消费
002416.SZ,爱施德,新消费
000829.SZ,天音控股,新消费
300255.SZ,常山药业,新消费
000615.SZ,*ST美谷,新消费
300113.SZ,顺网科技,新消费
605507.SH,国邦医药,新消费
002762.SZ,*ST金比,新消费
300233.SZ,金城医药,新消费
002891.SZ,中宠股份,新消费
600196.SH,复星医药,新消费
603899.SH,晨光股份,新消费
300009.SZ,安科生物,新消费
300673.SZ,佩蒂股份,新消费
000963.SZ,华东医药,新消费
920982.BJ,锦波生物,新消费
002103.SZ,广博股份,新消费
600655.SH,豫园股份,新消费
002626.SZ,金达威,新消费
300896.SZ,爱美客,新消费
301498.SZ,乖宝宠物,新消费
688363.SH,华熙生物,新消费
002348.SZ,高乐股份,新消费
002878.SZ,元隆雅图,新消费
002612.SZ,朗姿股份,新消费
920419.BJ,路斯股份,新消费
301335.SZ,天元宠物,新消费
002925.SZ,盈趣科技,新消费
002723.SZ,小崧股份,新消费
688366.SH,昊海生科,新消费
000756.SZ,新华制药,新消费
001222.SZ,源飞宠物,新消费
002004.SZ,华邦健康,新消费
300457.SZ,赢合科技,新消费
000718.SZ,苏宁环球,新消费
001206.SZ,依依股份,新消费
603231.SH,索宝蛋白,新消费
002191.SZ,劲嘉股份,新消费
300003.SZ,乐普医疗,新消费
002100.SZ,天康生物,新消费
002900.SZ,哈三联,新消费
603609.SH,禾丰股份,新消费
603630.SH,拉芳家化,新消费
300119.SZ,瑞普生物,新消费
300364.SZ,中文在线,新消费
000990.SZ,诚志股份,新消费
600195.SH,中牧股份,新消费
300740.SZ,水羊股份,新消费
002292.SZ,奥飞娱乐,新消费
603566.SH,普莱柯,新消费
300703.SZ,创源股份,新消费
002481.SZ,双塔食品,新消费
002728.SZ,特一药业,新消费
300220.SZ,金运激光,新消费
300199.SZ,翰宇药业,新消费
688356.SH,键凯科技,新消费
002172.SZ,澳洋健康,新消费
301011.SZ,华立科技,新消费
002365.SZ,永安药业,新消费
600774.SH,汉商集团,新消费
300238.SZ,冠昊生物,新消费
300791.SZ,仙乐健康,新消费
300841.SZ,康华生物,新消费
000813.SZ,德展健康,新消费
920075.BJ,柏星龙,新消费
301126.SZ,达嘉维康,新消费
000516.SZ,国际医学,新消费
300043.SZ,星辉娱乐,新消费
300239.SZ,东宝生物,新消费
300942.SZ,易瑞生物,新消费
300640.SZ,德艺文创,新消费
603739.SH,蔚蓝生物,新消费
002330.SZ,得利斯,新消费
300158.SZ,振东制药,新消费
300482.SZ,万孚生物,新消费
000790.SZ,华神科技,新消费
002862.SZ,实丰文化,新消费
300871.SZ,回盛生物,新消费
002688.SZ,金河生物,新消费
002565.SZ,顺灏股份,新消费
300812.SZ,易天股份,显示技术
300400.SZ,劲拓股份,显示技术
002952.SZ,亚世光电,显示技术
300054.SZ,鼎龙股份,显示技术
603297.SH,永新光学,显示技术
603773.SH,沃格光电,显示技术
002036.SZ,联创电子,显示技术
300331.SZ,苏大维格,显示技术
002429.SZ,兆驰股份,显示技术
002273.SZ,水晶光电,显示技术
000810.SZ,创维数字,显示技术
688378.SH,奥来德,显示技术
300162.SZ,雷曼光电,显示技术
300545.SZ,联得装备,显示技术
300219.SZ,鸿利智汇,显示技术
000725.SZ,京东方Ａ,显示技术
300939.SZ,秋田微,显示技术
605588.SH,冠石科技,显示技术
300567.SZ,精测电子,显示技术
002845.SZ,同兴达,显示技术
300296.SZ,利亚德,显示技术
300269.SZ,联建光电,显示技术
000100.SZ,TCL科技,显示技术
605218.SH,伟时电子,显示技术
300088.SZ,长信科技,显示技术
002106.SZ,莱宝高科,显示技术
000050.SZ,深天马Ａ,显示技术
002841.SZ,视源股份,显示技术
002983.SZ,芯瑞达,显示技术
300566.SZ,激智科技,显示技术
002449.SZ,国星光电,显示技术
003015.SZ,日久光电,显示技术
301589.SZ,诺瓦星云,显示技术
002876.SZ,三利谱,显示技术
000727.SZ,冠捷科技,显示技术
688039.SH,当虹科技,显示技术
688328.SH,深科达,显示技术
300232.SZ,洲明科技,显示技术
002387.SZ,维信诺,显示技术
688150.SH,莱特光电,显示技术
000536.SZ,华映科技,显示技术
600060.SH,海信视像,显示技术
688496.SH,清越科技,显示技术
002585.SZ,双星新材,显示技术
300389.SZ,艾比森,显示技术
002632.SZ,道明光学,显示技术
000045.SZ,深纺织Ａ,显示技术
002587.SZ,奥拓电子,显示技术
300608.SZ,思特奇,通信技术
688205.SH,德科立,通信技术
688195.SH,腾景科技,通信技术
300620.SZ,光库科技,通信技术
300632.SZ,光莆股份,通信技术
300757.SZ,罗博特科,通信技术
301312.SZ,智立方,通信技术
300747.SZ,锐科激光,通信技术
003007.SZ,直真科技,通信技术
002796.SZ,世嘉科技,通信技术
003031.SZ,中瓷电子,通信技术
002792.SZ,通宇通讯,通信技术
920981.BJ,晶赛科技,通信技术
688048.SH,长光华芯,通信技术
688400.SH,凌云光,通信技术
002428.SZ,云南锗业,通信技术
600487.SH,亨通光电,通信技术
002281.SZ,光迅科技,通信技术
300166.SZ,东方国信,通信技术
688001.SH,华兴源创,通信技术
002869.SZ,金溢科技,通信技术
301183.SZ,东田微,通信技术
002947.SZ,恒铭达,通信技术
002364.SZ,中恒电气,通信技术
603220.SH,中贝通信,通信技术
601869.SH,长飞光纤,通信技术
000938.SZ,紫光股份,通信技术
600330.SH,天通股份,通信技术
300782.SZ,卓胜微,通信技术
301338.SZ,凯格精机,通信技术
688498.SH,源杰科技,通信技术
688025.SH,杰普特,通信技术
