ts_code,trade_date,name,leading,leading_code,pct_change,leading_pct,total_mv,turnover_rate,up_num,down_num,idx_type,level
BK1440.DC,20260401,其他塑料制品,万朗磁塑,603150.SH,1.88,7.1,14402613.4,2.24,19,4,行业板块,东财三级行业
BK1439.DC,20260401,膜材料,斯迪克,300806.SZ,1.48,8.05,20890683.4,7.57,15,4,行业板块,东财三级行业
BK1438.DC,20260401,合成树脂,上纬新材,688585.SH,2.42,7.77,15857272.2,12.72,12,1,行业板块,东财三级行业
BK1437.DC,20260401,改性塑料,星辉环材,300834.SZ,2.47,20.0,15577895.8,2.05,21,1,行业板块,东财三级行业
BK1436.DC,20260401,农药,湖南海利,600731.SH,1.35,4.29,26957400.0,1.66,29,5,行业板块,东财三级行业
BK1435.DC,20260401,磷肥及磷化工,川金诺,300505.SZ,0.14,1.72,22997776.8,2.43,5,3,行业板块,东财三级行业
BK1434.DC,20260401,钾肥,藏格矿业,000408.SZ,1.17,3.67,40551812.8,1.56,3,1,行业板块,东财三级行业
BK1433.DC,20260401,复合肥,富邦科技,300387.SZ,0.59,1.26,9348913.0,5.1,8,2,行业板块,东财三级行业
BK1432.DC,20260401,氮肥,华鲁恒升,600426.SH,-0.69,0.83,12159902.9,4.76,2,4,行业板块,东财三级行业
BK1431.DC,20260401,有机硅,润禾材料,300727.SZ,1.59,2.55,10709859.2,1.24,10,0,行业板块,东财三级行业
BK1430.DC,20260401,涂料油墨,东方材料,603110.SH,1.43,2.97,7215977.9,2.23,16,0,行业板块,东财三级行业
BK1429.DC,20260401,食品及饲料添加剂,华恒生物,688639.SH,1.76,4.34,30377716.8,1.45,22,2,行业板块,东财三级行业
BK1428.DC,20260401,其他化学制品,凌玮科技,301373.SZ,1.74,9.44,48780124.8,2.65,70,9,行业板块,东财三级行业
BK1427.DC,20260401,民爆制品,高争民爆,002827.SZ,1.01,3.62,13665651.6,2.5,8,4,行业板块,东财三级行业
BK1426.DC,20260401,聚氨酯,万华化学,600309.SH,2.09,4.3,29853120.0,2.27,9,0,行业板块,东财三级行业
BK1425.DC,20260401,胶黏剂及胶带,鹿山新材,603051.SH,1.94,2.89,2253949.8,2.63,5,0,行业板块,东财三级行业
BK1424.DC,20260401,氟化工,昊华科技,600378.SH,1.61,3.09,27508636.8,1.78,9,0,行业板块,东财三级行业
BK1423.DC,20260401,纺织化学制品,锦鸡股份,300798.SZ,1.9,4.08,9988278.0,2.21,12,1,行业板块,东财三级行业
BK1422.DC,20260401,无机盐,三祥新材,603663.SH,1.24,3.93,10060382.7,1.97,8,2,行业板块,东财三级行业
BK1421.DC,20260401,钛白粉,惠云钛业,300891.SZ,0.47,1.69,7304348.8,1.89,5,1,行业板块,东财三级行业
BK1420.DC,20260401,其他化学原料,恒光股份,301118.SZ,0.4,2.68,18201994.1,2.62,12,6,行业板块,东财三级行业
BK1419.DC,20260401,煤化工,江苏索普,600746.SH,-0.97,9.76,31409827.2,3.39,5,5,行业板块,东财三级行业
