date,stock_code,stock_name,pattern_type,action,entry_price,exit_price,shares,pnl,pnl_pct,holding_days,hot_resonance,resonance_sectors,stop_loss_triggered,take_profit_triggered,entry_date,exit_reason,plan_rank,plan_score,plan_reason,factor_metrics_json
20260612,600487,亨通光电,指标筛选/default,SELL,90.18,96.806,2300,14888.125859999971,0.07175822635777448,7,False,,False,True,20260603,trailing_stop,2,94.9292,综合评分 94.9，候选排名第 2；当日涨幅 +10.01%，短线强度已确认；流动性分位 99.8，承接能力较好；tech_score 94.7，指标表现靠前；通过市场、流动性、强度、量能、趋势过滤,"{""stk_liquidity_percentile"": 99.7639368076993, ""stk_new_high_20d"": 88.23529411764706, ""tech_score"": 94.70588235294119}"
20260612,605358,立昂微,指标筛选/default,SELL,65.01978,65.9678,3300,2781.094555800024,0.012957644197619448,5,False,,False,True,20260605,trailing_stop,3,94.6952,综合评分 94.7，候选排名第 3；当日涨幅 +10.00%，短线强度已确认；量价活跃，成交额/成交量约为5日均值 1.38/1.28 倍；流动性分位 99.0，承接能力较好；tech_score 94.7，指标表现靠前,"{""stk_liquidity_percentile"": 98.98385048085647, ""stk_new_high_20d"": 88.23529411764706, ""tech_score"": 94.70588235294119}"
20260612,603186,华正新材,指标筛选/default,SELL,143.286,169.95940000000002,1400,36973.253772000025,0.1842576840448139,3,False,,False,True,20260609,trailing_stop,3,94.2276,综合评分 94.2，候选排名第 3；当日涨幅 +10.00%，短线强度已确认；量价活跃，成交额/成交量约为5日均值 1.76/1.63 倍；流动性分位 97.4，承接能力较好；tech_score 94.7，指标表现靠前,"{""stk_liquidity_percentile"": 97.42520398912058, ""stk_new_high_20d"": 88.23529411764706, ""tech_score"": 94.70588235294119}"
20260612,603002,宏昌电子,指标筛选/default,SELL,18.3867,17.39514,12000,-12236.276303999999,-0.05544137212425007,1,False,,True,False,20260611,stop_loss,2,94.3306,综合评分 94.3，候选排名第 2；当日涨幅 +10.01%，短线强度已确认；量价活跃，成交额/成交量约为5日均值 2.69/2.50 倍；流动性分位 97.8，承接能力较好；tech_score 94.7，指标表现靠前,"{""stk_liquidity_percentile"": 97.76850507982583, ""stk_new_high_20d"": 88.23529411764706, ""tech_score"": 94.70588235294119}"
20260612,600206,有研新材,指标筛选/default,SELL,32.49486,32.92402,6800,2560.9501487999514,0.011586366791238856,1,False,,False,True,20260611,trailing_stop,3,94.3095,综合评分 94.3，候选排名第 3；当日涨幅 +10.00%，短线强度已确认；量价活跃，成交额/成交量约为5日均值 1.98/1.85 倍；流动性分位 97.7，承接能力较好；tech_score 94.7，指标表现靠前,"{""stk_liquidity_percentile"": 97.71407837445574, ""stk_new_high_20d"": 88.23529411764706, ""tech_score"": 94.69653235294118}"
20260612,002428,云南锗业,指标筛选/default,BUY,89.679,0.0,2400,0.0,0.0,0,False,,False,False,20260612,buy,1,94.9258,综合评分 94.9，候选排名第 1；当日涨幅 +10.00%，短线强度已确认；量价活跃，成交额/成交量约为5日均值 1.94/1.89 倍；流动性分位 99.8，承接能力较好；tech_score 94.7，指标表现靠前,"{""stk_liquidity_percentile"": 99.76410814734167, ""stk_new_high_20d"": 88.23529411764706, ""tech_score"": 94.69900735294118}"
20260615,603993,洛阳钼业,指标筛选/default,BUY,19.528979999999997,0.0,11000,0.0,0.0,0,False,,False,False,20260615,buy,1,94.7333,综合评分 94.7，候选排名第 1；当日涨幅 +10.02%，短线强度已确认；量价活跃，成交额/成交量约为5日均值 1.97/1.81 倍；流动性分位 99.1，承接能力较好；tech_score 94.7，指标表现靠前,"{""stk_liquidity_percentile"": 99.11103047895502, ""stk_new_high_20d"": 88.23529411764706, ""tech_score"": 94.70588235294119}"
20260615,600601,方正科技,指标筛选/default,BUY,12.9258,0.0,16700,0.0,0.0,0,False,,False,False,20260615,buy,3,94.3615,综合评分 94.4，候选排名第 3；当日涨幅 +9.98%，短线强度已确认；量价活跃，成交额/成交量约为5日均值 2.11/2.04 倍；流动性分位 97.9，承接能力较好；tech_score 94.7，指标表现靠前,"{""stk_liquidity_percentile"": 97.9499274310595, ""stk_new_high_20d"": 88.23529411764706, ""tech_score"": 94.65885735294118}"
20260616,002384,东山精密,指标筛选/default,BUY,244.488,0.0,900,0.0,0.0,0,False,,False,False,20260616,buy,1,94.9728,综合评分 95.0，候选排名第 1；当日涨幅 +10.00%，短线强度已确认；量价活跃，成交额/成交量约为5日均值 1.28/1.20 倍；流动性分位 99.9，承接能力较好；tech_score 94.7，指标表现靠前,"{""stk_liquidity_percentile"": 99.90922294843864, ""stk_new_high_20d"": 88.23529411764706, ""tech_score"": 94.70588235294119}"
20260616,002281,光迅科技,指标筛选/default,BUY,233.967,0.0,900,0.0,0.0,0,False,,False,False,20260616,buy,2,94.9292,综合评分 94.9，候选排名第 2；当日涨幅 +10.00%，短线强度已确认；量价活跃，成交额/成交量约为5日均值 1.28/1.22 倍；流动性分位 99.8，承接能力较好；tech_score 94.7，指标表现靠前,"{""stk_liquidity_percentile"": 99.76397966594045, ""stk_new_high_20d"": 88.23529411764706, ""tech_score"": 94.70588235294119}"
20260617,002428,云南锗业,指标筛选/default,SELL,89.679,99.06148,2400,22144.31130239999,0.10285606627248096,3,False,,False,True,20260612,trailing_stop,1,94.9258,综合评分 94.9，候选排名第 1；当日涨幅 +10.00%，短线强度已确认；量价活跃，成交额/成交量约为5日均值 1.94/1.89 倍；流动性分位 99.8，承接能力较好；tech_score 94.7，指标表现靠前,"{""stk_liquidity_percentile"": 99.76410814734167, ""stk_new_high_20d"": 88.23529411764706, ""tech_score"": 94.69900735294118}"
20260617,002436,兴森科技,指标筛选/default,BUY,45.10002,0.0,5000,0.0,0.0,0,False,,False,False,20260617,buy,1,94.7714,综合评分 94.8，候选排名第 1；当日涨幅 +10.00%，短线强度已确认；量价活跃，成交额/成交量约为5日均值 1.49/1.31 倍；流动性分位 99.2，承接能力较好；tech_score 94.7，指标表现靠前,"{""stk_liquidity_percentile"": 99.23816433883547, ""stk_new_high_20d"": 88.23529411764706, ""tech_score"": 94.70588235294119}"
