exit_date,entry_date,stock_code,stock_name,pattern_type,action,exit_reason,shares,pnl,pnl_pct,holding_days,stop_loss_triggered,take_profit_triggered,plan_rank,plan_score,plan_reason,factor_metrics_json,factor_stk_liquidity_percentile,factor_stk_new_high_20d,factor_tech_score
20260210,20260209,600759,ST洲际,指标筛选/default,SELL,stop_loss,31000,-11168.08039800002,-0.0641845972726575,1,True,False,3,94.7091,综合评分 94.7，候选排名第 3；当日涨幅 +10.00%，短线强度已确认；量价活跃，成交额/成交量约为5日均值 1.64/1.56 倍；流动性分位 99.0，承接能力较好；tech_score 94.7，指标表现靠前,"{""stk_liquidity_percentile"": 99.03036955726307, ""stk_new_high_20d"": 88.23529411764706, ""tech_score"": 94.70588235294119}",99.03036955726307,88.23529411764706,94.70588235294119
20260211,20260205,002506,协鑫集成,指标筛选/default,SELL,trailing_stop,42500,51995.78647499997,0.3043945403444236,4,False,True,2,94.5767,综合评分 94.6，候选排名第 2；当日涨幅 +9.88%，短线强度已确认；量价活跃，成交额/成交量约为5日均值 1.73/1.64 倍；流动性分位 99.1，承接能力较好；tech_score 94.4，指标表现靠前,"{""stk_liquidity_percentile"": 99.12216532553035, ""stk_new_high_20d"": 88.23529411764706, ""tech_score"": 94.38605735294118}",99.12216532553035,88.23529411764706,94.38605735294118
20260226,20260212,002340,格林美,指标筛选/default,SELL,time_stop,18600,863.6590079999878,0.0048713670654213365,4,False,False,1,94.8102,综合评分 94.8，候选排名第 1；当日涨幅 +9.95%，短线强度已确认；量价活跃，成交额/成交量约为5日均值 3.80/3.50 倍；流动性分位 99.6，承接能力较好；tech_score 94.6，指标表现靠前,"{""stk_liquidity_percentile"": 99.57952468007313, ""stk_new_high_20d"": 88.23529411764706, ""tech_score"": 94.57855735294117}",99.57952468007313,88.23529411764706,94.57855735294117
20260303,20260212,600176,中国巨石,指标筛选/default,SELL,time_stop,6700,-656.2788690000307,-0.0037017893452506714,7,False,False,3,94.3794,综合评分 94.4，候选排名第 3；当日涨幅 +9.99%，短线强度已确认；量价活跃，成交额/成交量约为5日均值 1.39/1.16 倍；流动性分位 98.0，承接能力较好；tech_score 94.7，指标表现靠前,"{""stk_liquidity_percentile"": 97.97074954296161, ""stk_new_high_20d"": 88.23529411764706, ""tech_score"": 94.68223235294118}",97.97074954296161,88.23529411764706,94.68223235294118
20260303,20260224,000021,深科技,指标筛选/default,SELL,stop_loss,5400,-10778.042152799986,-0.06127238235714907,5,True,False,1,94.9233,综合评分 94.9，候选排名第 1；当日涨幅 +10.02%，短线强度已确认；量价活跃，成交额/成交量约为5日均值 3.88/3.46 倍；流动性分位 99.7，承接能力较好；tech_score 94.7，指标表现靠前,"{""stk_liquidity_percentile"": 99.74424552429667, ""stk_new_high_20d"": 88.23529411764706, ""tech_score"": 94.70588235294119}",99.74424552429667,88.23529411764706,94.70588235294119
20260303,20260224,600410,华胜天成,指标筛选/default,SELL,trailing_stop,6700,11378.957127000001,0.06517129039086525,5,False,True,2,94.8575,综合评分 94.9，候选排名第 2；当日涨幅 +10.01%，短线强度已确认；流动性分位 99.5，承接能力较好；tech_score 94.7，指标表现靠前；通过市场、流动性、强度、量能、趋势过滤,"{""stk_liquidity_percentile"": 99.52502740226525, ""stk_new_high_20d"": 88.23529411764706, ""tech_score"": 94.70588235294119}",99.52502740226525,88.23529411764706,94.70588235294119
20260303,20260225,601390,中国中铁,指标筛选/default,SELL,time_stop,29500,-2470.890795000014,-0.01378989378224583,4,False,False,1,94.8794,综合评分 94.9，候选排名第 1；当日涨幅 +10.00%，短线强度已确认；量价活跃，成交额/成交量约为5日均值 3.62/3.37 倍；流动性分位 99.6，承接能力较好；tech_score 94.7，指标表现靠前,"{""stk_liquidity_percentile"": 99.59810010960905, ""stk_new_high_20d"": 88.23529411764706, ""tech_score"": 94.70588235294119}",99.59810010960905,88.23529411764706,94.70588235294119
20260303,20260226,600096,云天化,指标筛选/default,SELL,stop_loss,4100,-10068.095185199985,-0.05645153248914801,3,True,False,3,94.8794,综合评分 94.9，候选排名第 3；当日涨幅 +10.01%，短线强度已确认；量价活跃，成交额/成交量约为5日均值 4.26/3.70 倍；流动性分位 99.6，承接能力较好；tech_score 94.7，指标表现靠前,"{""stk_liquidity_percentile"": 99.59787972948273, ""stk_new_high_20d"": 88.23529411764706, ""tech_score"": 94.70588235294119}",99.59787972948273,88.23529411764706,94.70588235294119
20260312,20260225,000988,华工科技,指标筛选/default,SELL,trailing_stop,2000,83162.20224000001,0.4840800374844331,11,False,True,2,94.863,综合评分 94.9，候选排名第 2；当日涨幅 +10.00%，短线强度已确认；量价活跃，成交额/成交量约为5日均值 2.45/2.25 倍；流动性分位 99.6，承接能力较好；tech_score 94.7，指标表现靠前,"{""stk_liquidity_percentile"": 99.56156375593716, ""stk_new_high_20d"": 88.23529411764706, ""tech_score"": 94.69488235294119}",99.56156375593716,88.23529411764706,94.69488235294119
20260312,20260309,002261,拓维信息,指标筛选/default,SELL,trailing_stop,4600,37.612258799985284,0.00020657913755340977,3,False,True,1,94.9069,综合评分 94.9，候选排名第 1；当日涨幅 +10.00%，短线强度已确认；量价活跃，成交额/成交量约为5日均值 2.62/2.54 倍；流动性分位 99.7，承接能力较好；tech_score 94.7，指标表现靠前,"{""stk_liquidity_percentile"": 99.68961110096768, ""stk_new_high_20d"": 88.23529411764706, ""tech_score"": 94.70588235294119}",99.68961110096768,88.23529411764706,94.70588235294119
20260313,20260309,002506,协鑫集成,指标筛选/default,SELL,trailing_stop,32600,-8504.371714800043,-0.04606575528268891,4,False,True,2,94.8521,综合评分 94.9，候选排名第 2；当日涨幅 +10.10%，短线强度已确认；量能未明显放大，成交额/成交量约为5日均值 0.84/0.78 倍；流动性分位 99.5，承接能力较好；tech_score 94.7，指标表现靠前,"{""stk_liquidity_percentile"": 99.50702939565456, ""stk_new_high_20d"": 88.23529411764706, ""tech_score"": 94.70588235294119}",99.50702939565456,88.23529411764706,94.70588235294119
20260316,20260309,601868,中国能建,指标筛选/default,SELL,trailing_stop,62500,28868.946750000003,0.15621794330471792,5,False,True,3,94.6897,综合评分 94.7，候选排名第 3；当日涨幅 +9.89%，短线强度已确认；量价活跃，成交额/成交量约为5日均值 4.72/4.13 倍；流动性分位 99.5，承接能力较好；tech_score 94.4，指标表现靠前,"{""stk_liquidity_percentile"": 99.48877122512324, ""stk_new_high_20d"": 88.23529411764706, ""tech_score"": 94.39210735294117}",99.48877122512324,88.23529411764706,94.39210735294117
