trade_date,content_type,ts_code,name,pct_change,close,net_amount,net_amount_rate,buy_elg_amount,buy_elg_amount_rate,buy_lg_amount,buy_lg_amount_rate,buy_md_amount,buy_md_amount_rate,buy_sm_amount,buy_sm_amount_rate,buy_sm_amount_stock,rank,net_mamount,net_damount,total_net_amount
20260403,概念,BK1025.DC,预制菜概念,-3.24,1099.29,32014.4576,-4.68,-105073328.0,-1.52,-219335440.0,-3.17,-18366672.0,-0.27,320144576.0,4.62,天马科技,41,-1836.6672,-21933.544,8244.2464
20260403,概念,BK0921.DC,卫星互联网,-1.22,2050.96,192448.8192,-0.57,945916672.0,1.65,-1272618240.0,-2.22,-1612627200.0,-2.81,1924488192.0,3.35,通宇通讯,42,-161262.72,-127261.824,-96075.7248
20260403,概念,BK0969.DC,汽车芯片,-0.84,1347.96,40173.2096,-0.94,-129350400.0,-0.37,-201308416.0,-0.57,-73943552.0,-0.21,401732096.0,1.14,兆易创新,43,-7394.3552,-20130.8416,12648.012800000004
20260403,概念,BK1098.DC,生物质能发电,-4.05,1129.26,31690.584,-5.16,-202321936.0,-3.07,-137295056.0,-2.08,22711168.0,0.34,316905840.0,4.81,高能环境,44,2271.1168,-13729.5056,20232.1952
20260403,概念,BK0913.DC,消毒剂,-2.12,1727.3,51746.1504,-2.43,-166853328.0,-1.18,-176112320.0,-1.25,-174496000.0,-1.24,517461504.0,3.67,英科医疗,45,-17449.6,-17611.232,16685.3184
20260403,概念,BK0606.DC,油气设服,-2.34,2498.06,10925.0048,-1.48,-19627008.0,-0.08,-330452224.0,-1.39,140099584.0,0.59,109250048.0,0.46,中曼石油,46,14009.9584,-33045.2224,-8110.2592
20260403,概念,BK0927.DC,免税概念,-2.26,1286.72,28033.6096,-9.91,-147029555.0,-4.1,-208211104.0,-5.81,74904592.0,2.09,280336096.0,7.82,春秋航空,47,7490.4592,-20821.1104,14702.9584
20260403,概念,BK1141.DC,混合现实,0.17,1684.71,30091.648,-1.75,-332553648.0,-1.63,-24411392.0,-0.12,56048896.0,0.28,300916480.0,1.48,蓝思科技,48,5604.8896,-2441.1392,33255.398400000005
20260403,概念,BK0603.DC,页岩气,-2.78,2982.46,50210.992,-2.3,-146663088.0,-0.94,-210821216.0,-1.35,-148441088.0,-0.95,502109920.0,3.23,中国石油,49,-14844.1088,-21082.1216,14284.761599999998
20260403,概念,BK0485.DC,旅游酒店,-2.74,16008.31,26281.3536,-8.54,-149452292.0,-3.52,-212969328.0,-5.02,99608080.0,2.35,262813536.0,6.19,陕西旅游,50,9960.808,-21296.9328,14945.2288
20260403,概念,BK1185.DC,冰雪经济,-2.88,1028.69,20238.2704,-4.06,-239339200.0,-2.65,-127474416.0,-1.41,164430912.0,1.82,202382704.0,2.24,中工国际,1,16443.0912,-12747.4416,23933.920000000006
20260403,概念,BK0932.DC,尾气治理,-1.97,1935.58,28591.7664,-3.78,-211654432.0,-2.18,-155193184.0,-1.6,78636944.0,0.81,285917664.0,2.95,有研新材,2,7863.6944,-15519.3184,20936.1424
20260403,概念,BK0803.DC,股权转让,-3.71,758.35,29960.312,-6.07,-141808144.0,-2.33,-227795808.0,-3.74,62105920.0,1.02,299603120.0,4.92,中旗新材,3,6210.592,-22779.5808,13391.323200000003
20260403,概念,BK1022.DC,职业教育,-1.81,1337.53,50078.7968,-2.55,-161614656.0,-1.11,-210995232.0,-1.44,-139223552.0,-0.95,500787968.0,3.43,东方国信,4,-13922.3552,-21099.5232,15056.918399999999
20260403,概念,BK1093.DC,汽车一体化压铸,-2.3,1302.44,28320.2192,-8.19,-279543554.0,-6.14,-93103632.0,-2.04,89445008.0,1.96,283202192.0,6.22,瑞鹄模具,5,8944.5008,-9310.3632,27954.3568
20260403,概念,BK1127.DC,AI芯片,-0.81,1649.59,83859.3264,-1.37,477909248.0,1.75,-852976896.0,-3.12,-471365888.0,-1.72,838593264.0,3.07,摩尔线程-U,6,-47136.5888,-85297.6896,-48574.95199999999
20260403,概念,BK0505.DC,中字头,-1.37,9418.11,88007.3728,-0.57,1094477568.0,1.64,-1474938880.0,-2.22,-505208832.0,-0.76,880073728.0,1.32,中油资本,7,-50520.8832,-147493.888,-110007.3984
20260403,概念,BK0566.DC,滨海新区,-2.7,10885.33,52872.5984,-6.53,-87851584.0,-1.51,-293458672.0,-5.03,-147415712.0,-2.53,528725984.0,9.06,津药药业,8,-14741.5712,-29345.8672,8785.160000000003
20260403,概念,BK0992.DC,REITs概念,-2.15,784.85,35921.608,-7.85,-216595408.0,-4.46,-164968320.0,-3.4,22347664.0,0.46,359216080.0,7.39,首创环保,9,2234.7664,-16496.832,21659.542400000002
20260403,概念,BK1135.DC,数据要素,-1.84,1189.76,80970.88,-0.82,411921152.0,0.88,-795352064.0,-1.7,-456727808.0,-0.98,809708800.0,1.73,云赛智联,10,-45672.7808,-79535.2064,-44237.10719999999
20260403,概念,BK0509.DC,网络游戏,-2.16,13341.24,24322.7392,-1.8,-173952576.0,-0.79,-220594688.0,-1.01,151319808.0,0.69,243227392.0,1.11,巨人网络,11,15131.9808,-22059.4688,17395.251200000002
