trade_date,content_type,ts_code,name,pct_change,close,net_amount,net_amount_rate,buy_elg_amount,buy_elg_amount_rate,buy_lg_amount,buy_lg_amount_rate,buy_md_amount,buy_md_amount_rate,buy_sm_amount,buy_sm_amount_rate,buy_sm_amount_stock,rank,net_mamount,net_damount,total_net_amount
20260403,概念,BK1089.DC,汽车热管理,-2.17,2117.92,96203.5712,-6.37,-597823824.0,-3.16,-606550080.0,-3.21,228060928.0,1.21,962035712.0,5.09,飞龙股份,27,22806.0928,-60655.008,58354.656
20260403,行业,BK1459.DC,清洁小家电,-2.17,2246.93,1028.0208,-4.41,-25697044.0,-2.55,-18748152.0,-1.86,34164976.0,3.39,10280208.0,1.02,莱克电气,49,3416.4976,-1874.8152,2569.7032
20260403,行业,BK0456.DC,家用电器,-2.38,23535.57,63134.8992,-4.94,-591004528.0,-3.12,-344038656.0,-1.82,267168256.0,1.41,631348992.0,3.33,华帝股份,5,26716.8256,-34403.8656,55447.8592
20260403,概念,BK0853.DC,电子竞技,-1.95,1402.59,-26351.68,1.24,127251536.0,1.17,8004688.0,0.07,121196416.0,1.11,-263516800.0,-2.42,巨人网络,21,12119.6416,800.4688,-13431.569599999999
20260403,概念,BK1172.DC,AI语料,-2.93,1076.25,131792.2992,-11.51,-585592256.0,-5.56,-626993824.0,-5.95,-105336848.0,-1.0,1317922992.0,12.51,新华传媒,28,-10533.6848,-62699.3824,58559.232
20260403,行业,BK1330.DC,模拟芯片设计,-0.46,5399.04,7495.7632,-0.44,-203771952.0,-2.01,158971280.0,1.57,-30156960.0,-0.3,74957632.0,0.74,圣邦股份,50,-3015.696,15897.128,20377.195200000002
20260403,行业,BK1205.DC,机械设备,-1.71,4567.65,136703.6416,-0.82,109428992.0,0.09,-1095479808.0,-0.91,-721211392.0,-0.6,1367036416.0,1.13,华工科技,6,-72121.1392,-109547.9808,-44965.47840000001
20260403,概念,BK1192.DC,雅下水电概念,-1.61,1284.87,31699.1488,0.53,430228768.0,1.79,-301704960.0,-1.25,-443667200.0,-1.84,316991488.0,1.32,包钢股份,22,-44366.72,-30170.496,-42838.067200000005
20260403,概念,BK1157.DC,飞行汽车(eVTOL),-2.01,1973.11,123624.32,-7.49,-641887568.0,-3.95,-575680352.0,-3.54,-37350400.0,-0.23,1236243200.0,7.6,震裕科技,29,-3735.04,-57568.0352,62321.244800000015
20260403,行业,BK1411.DC,非金属材料Ⅲ,-1.7,1863.69,2469.0544,-2.05,1718206.0,0.08,-48516128.0,-2.12,943344.0,0.04,24690544.0,1.08,石英股份,1,94.3344,-4851.6128,-2288.2239999999997
20260403,行业,BK1041.DC,医疗器械,-2.77,975.96,63921.9712,-4.97,-614040032.0,-2.9,-436105216.0,-2.06,325912064.0,1.54,639219712.0,3.02,英科医疗,7,32591.2064,-43610.5216,52902.655999999995
20260403,概念,BK0604.DC,参股保险,-2.45,2815.57,68382.3872,0.35,1336553472.0,3.73,-1211953920.0,-3.38,-808423680.0,-2.26,683823872.0,1.91,中油资本,23,-80842.368,-121195.392,-133655.3728
20260403,概念,BK0664.DC,婴童概念,-2.85,1762.77,122206.976,-5.63,-561701280.0,-2.59,-658382080.0,-3.04,-8658176.0,-0.04,1222069760.0,5.64,珠江钢琴,30,-865.8176,-65838.208,55502.9504
20260403,行业,BK1020.DC,非金属材料Ⅱ,-1.7,1863.69,2469.0544,-2.05,1718206.0,0.08,-48516128.0,-2.12,943344.0,0.04,24690544.0,1.08,石英股份,2,94.3344,-4851.6128,-2288.2239999999997
20260403,行业,BK1613.DC,铝,-2.91,2820.99,93959.584,-8.1,-546323920.0,-4.21,-504303696.0,-3.89,111031712.0,0.86,939595840.0,7.25,新疆众和,8,11103.1712,-50430.3696,54632.3856
20260403,概念,BK0805.DC,钛白粉概念,-2.05,1381.53,-13309.9216,3.21,96921696.0,2.54,25778640.0,0.68,10398880.0,0.27,-133099216.0,-3.49,振华股份,24,1039.888,2577.864,-9692.1696
20260403,概念,BK1151.DC,短剧互动游戏,-2.81,1284.6,127282.8144,-9.14,-589510768.0,-4.4,-635713552.0,-4.74,-47603712.0,-0.36,1272828144.0,9.49,江苏有线,31,-4760.3712,-63571.3552,58951.08800000001
20260403,行业,BK1474.DC,钢结构,-2.48,3050.1,2664.0592,-4.78,-19841092.0,-1.97,-28217657.0,-2.81,20616960.0,2.05,26640592.0,2.65,东南网架,3,2061.696,-2821.7657,1903.9894999999997
20260403,行业,BK1293.DC,营销代理,-3.49,4668.0,118411.52,-13.43,-348352416.0,-4.35,-727289488.0,-9.08,-108473328.0,-1.35,1184115200.0,14.79,龙韵股份,9,-10847.3328,-72728.9488,34835.2384
20260403,概念,BK0875.DC,ETC,-1.45,1815.9,-16457.6928,1.37,88831264.0,1.11,20346480.0,0.26,50657968.0,0.64,-164576928.0,-2.06,立昂技术,25,5065.7968,2034.648,-9357.248000000001
20260403,概念,BK1126.DC,ChatGPT概念,-1.94,1969.36,128916.608,-4.7,-754841504.0,-2.86,-485389312.0,-1.84,-48935168.0,-0.19,1289166080.0,4.88,东方国信,32,-4893.5168,-48538.9312,75484.16
20260403,行业,BK1538.DC,瓷砖地板,-3.34,1297.95,2393.4448,-7.63,-26716781.0,-4.23,-21417485.0,-3.39,24199824.0,3.84,23934448.0,3.79,菲林格尔,4,2419.9824,-2141.7485,2671.6787
20260403,行业,BK1220.DC,广告营销,-3.58,4913.5,123379.4976,-12.47,-325968608.0,-3.74,-759544432.0,-8.73,-148281936.0,-1.7,1233794976.0,14.17,龙韵股份,10,-14828.1936,-75954.4432,32596.86080000001
20260403,概念,BK1071.DC,跨境支付,-0.8,1611.66,43193.4976,0.33,1392780544.0,4.2,-1283891712.0,-3.87,-540885760.0,-1.63,431934976.0,1.3,中油资本,26,-54088.576,-128389.1712,-139284.24959999998
20260403,概念,BK0951.DC,刀片电池,-1.83,3062.98,96027.2448,-11.96,-852878048.0,-8.21,-390222448.0,-3.76,282828048.0,2.72,960272448.0,9.24,雄韬股份,33,28282.8048,-39022.2448,85287.8048
20260403,行业,BK1331.DC,数字芯片设计,-0.16,20796.17,114611.6608,-0.09,1040141056.0,2.03,-1088645888.0,-2.12,-1097611776.0,-2.14,1146116608.0,2.24,芯原股份,5,-109761.1776,-108864.5888,-104014.1056
20260403,行业,BK1032.DC,风电设备,-3.33,1604.52,105863.296,-6.07,-692325216.0,-3.8,-414798944.0,-2.28,48491264.0,0.27,1058632960.0,5.81,恒润股份,11,4849.1264,-41479.8944,69232.52799999999
20260403,概念,BK0890.DC,MLCC,-0.31,2969.29,4046.9056,1.1,107501744.0,1.13,-2790112.0,-0.03,-145180704.0,-1.53,40469056.0,0.43,信维通信,27,-14518.0704,-279.0112,-10750.176000000001
20260403,概念,BK0986.DC,CAR-T细胞疗法,-3.33,1218.65,111393.0128,-11.53,-687488256.0,-6.29,-572601888.0,-5.24,144739936.0,1.32,1113930128.0,10.19,益诺思,34,14473.9936,-57260.1888,68606.8176
20260403,行业,BK1475.DC,国际工程,-4.58,2995.6,1874.1856,-1.76,-65471284.0,-2.37,16747696.0,0.61,29981744.0,1.08,18741856.0,0.68,中材国际,6,2998.1744,1674.7696,6547.1296
20260403,行业,BK1015.DC,能源金属,-2.12,970.68,124975.8208,-6.33,-607236000.0,-3.43,-514290176.0,-2.9,-128231936.0,-0.72,1249758208.0,7.05,永杉锂业,12,-12823.1936,-51429.0176,60723.6096
20260403,概念,BK1057.DC,电子纸概念,0.45,1117.11,-4449.4016,2.24,90309344.0,2.01,10586240.0,0.24,-56401552.0,-1.25,-44494016.0,-0.99,劲拓股份,28,-5640.1552,1058.624,-9030.9328
20260403,概念,BK1048.DC,IGBT概念,-1.3,932.79,113768.3712,-5.89,-689294400.0,-3.19,-581357312.0,-2.69,130380544.0,0.6,1137683712.0,5.27,中瓷电子,35,13038.0544,-58135.7312,68670.69439999998
20260403,行业,BK1361.DC,期货,-2.91,522.78,6023.8892,-8.89,-18529221.0,-3.35,-30581408.0,-5.54,-11128263.0,-2.01,60238892.0,10.9,永安期货,7,-1112.8263,-3058.1408,1852.9220999999998
20260403,行业,BK1396.DC,金属制品,-2.58,5614.58,131641.728,-6.84,-496241888.0,-2.86,-689766480.0,-3.98,-177233152.0,-1.02,1316417280.0,7.59,欧科亿,13,-17723.3152,-68976.648,44941.764800000004
20260403,概念,BK0995.DC,华为昇腾,-0.99,1583.53,7575.9616,0.63,-25196112.0,-0.17,117113024.0,0.81,-167676416.0,-1.15,75759616.0,0.52,东方国信,29,-16767.6416,11711.3024,2519.6224
20260403,概念,BK0920.DC,车联网(车路云),-1.59,1505.41,130596.5568,-1.84,-959694592.0,-1.38,-319478528.0,-0.46,-73838592.0,-0.11,1305965568.0,1.88,紫光股份,36,-7383.8592,-31947.8528,91264.84479999999
20260403,行业,BK1487.DC,公路货运,-4.87,4439.27,4606.6654,-12.32,-29590737.0,-7.35,-20020873.0,-4.97,3544957.0,0.88,46066654.0,11.44,长久物流,8,354.4957,-2002.0873,2959.0738
20260403,行业,BK0481.DC,汽车零部件,-1.84,47787.53,95769.0368,-3.12,-563784272.0,-1.42,-672959232.0,-1.7,144803584.0,0.36,957690368.0,2.41,新朋股份,14,14480.3584,-67295.9232,42953.471999999994
20260403,概念,BK1132.DC,MLOps概念,-1.54,1124.28,-8934.568,1.58,48777440.0,0.95,31764144.0,0.62,8804112.0,0.17,-89345680.0,-1.75,东方国信,30,880.4112,3176.4144,-4877.742399999999
20260403,概念,BK1640.DC,价值股,-1.27,995.18,135514.1632,-3.15,-564651008.0,-1.38,-725399040.0,-1.77,-65091584.0,-0.16,1355141632.0,3.31,新 和 成,37,-6509.1584,-72539.904,56465.100800000015
20260403,行业,BK1586.DC,软饮料,-2.52,1797.06,10032.6992,-5.22,-23247110.0,-2.44,-26450796.0,-2.78,-50629088.0,-5.32,100326992.0,10.54,泉阳泉,9,-5062.9088,-2645.0796,2324.710799999999
20260403,行业,BK1366.DC,证券Ⅲ,-1.03,135110.08,93298.6912,-8.75,-696105792.0,-4.78,-577565360.0,-3.97,340684288.0,2.34,932986912.0,6.41,方正证券,15,34068.4288,-57756.536,69610.584
20260403,概念,BK0933.DC,退税商店,-1.52,1262.09,-2571.0352,3.6,131099585.0,8.6,-76219539.0,-5.0,-29169712.0,-1.91,-25710352.0,-1.69,翠微股份,31,-2916.9712,-7621.9539,-13109.9603
20260403,概念,BK0906.DC,流感,-2.67,1691.5,144327.7312,-3.82,-357108464.0,-1.06,-933904896.0,-2.76,-152264192.0,-0.45,1443277312.0,4.27,中国医药,38,-15226.4192,-93390.4896,35710.822400000005
20260403,行业,BK1620.DC,钴,-2.25,1139.04,5424.4032,-13.23,-15373286.0,-4.07,-34548074.0,-9.15,-4322673.0,-1.15,54244032.0,14.37,腾远钴业,10,-432.2673,-3454.8074,1537.3284999999992
20260403,行业,BK0473.DC,证券Ⅱ,-1.03,135110.08,93298.6912,-8.75,-696105792.0,-4.78,-577565360.0,-3.97,340684288.0,2.34,932986912.0,6.41,方正证券,16,34068.4288,-57756.536,69610.584
20260403,概念,BK0947.DC,屏下摄像,-0.58,872.05,1890.4896,1.02,65659136.0,1.47,-19767744.0,-0.44,-64796288.0,-1.45,18904896.0,0.42,中兴通讯,32,-6479.6288,-1976.7744,-6565.913600000001
20260403,概念,BK1636.DC,红利破净股,-1.97,1026.94,83739.7248,-7.23,-998270912.0,-5.48,-319504080.0,-1.75,480377856.0,2.64,837397248.0,4.6,华夏银行,39,48037.7856,-31950.408,99827.1024
20260403,行业,BK1443.DC,橡胶助剂,-1.18,3893.93,5143.341,-14.64,-30086050.0,-8.78,-20103664.0,-5.86,-1243696.0,-0.36,51433410.0,15.0,阳谷华泰,11,-124.3696,-2010.3664,3008.6050000000005
20260403,行业,BK1519.DC,电动乘用车,-2.1,6001.0,98558.0704,-18.32,-850545280.0,-12.03,-444854816.0,-6.29,309819392.0,4.38,985580704.0,13.93,北汽蓝谷,17,30981.9392,-44485.4816,85054.52799999999
20260403,概念,BK1065.DC,气溶胶检测,-0.61,1597.41,-511.3584,1.96,-3927504.0,-0.17,48333712.0,2.13,-39292624.0,-1.74,-5113584.0,-0.23,禾信仪器,33,-3929.2624,4833.3712,392.7503999999999
20260403,概念,BK0837.DC,互联医疗,-1.97,1066.63,130811.8016,-4.42,-408002912.0,-1.37,-910961408.0,-3.05,-1466112.0,0.0,1308118016.0,4.38,莱美药业,40,-146.6112,-91096.1408,39569.04960000001
20260403,行业,BK1537.DC,成品家居,-2.6,2534.23,1859.8832,-4.68,-29033389.0,-2.64,-22410180.0,-2.04,31187719.0,2.83,18598832.0,1.69,永艺股份,12,3118.7719,-2241.018,2737.6371
20260403,行业,BK0433.DC,农林牧渔,-3.45,15042.55,83498.8288,-6.12,-770169664.0,-3.62,-530861568.0,-2.5,410810368.0,1.93,834988288.0,3.93,天马科技,18,41081.0368,-53086.1568,71493.70880000001
20260403,概念,BK1147.DC,SPD概念,-0.05,1146.01,-3005.128,0.56,121682416.0,1.94,-86257968.0,-1.38,-5373152.0,-0.09,-30051280.0,-0.48,重药控股,34,-537.3152,-8625.7968,-12168.24
