ts_code,trade_date,name,leading,leading_code,pct_change,leading_pct,total_mv,turnover_rate,up_num,down_num,idx_type,level,up_down_ratio,up_down_diff,leading_strength,activity_score,composite_strength
BK1520.DC,20260401,综合乘用车,上汽集团,600104.SH,-0.04,1.58,56505140.8,0.67,4,2,行业板块,东财三级行业,0.6666666666666666,2,1.0533333333333332,0.44666666666666666,20.288
BK1519.DC,20260401,电动乘用车,北汽蓝谷,600733.SH,0.22,2.1,114220510.4,1.5,2,1,行业板块,东财三级行业,0.6666666666666666,1,1.4,1.0,20.546
BK1518.DC,20260401,种子,万向德农,600371.SH,-0.58,1.99,6350805.1,3.6,3,7,行业板块,东财三级行业,0.3,-4,0.597,1.08,9.1614
BK1517.DC,20260401,食用菌,华绿生物,300970.SZ,5.65,15.94,1626741.2,3.05,4,0,行业板块,东财三级行业,1.0,4,15.94,3.05,35.493
BK1516.DC,20260401,其他种植业,宏辉果蔬,603336.SH,1.65,6.55,4785322.2,2.87,3,2,行业板块,东财三级行业,0.6,1,3.9299999999999997,1.722,19.625400000000003
BK1515.DC,20260401,粮食种植,苏垦农发,601952.SH,-2.02,-1.76,4281929.6,2.18,0,2,行业板块,东财三级行业,0.0,-2,-0.0,0.0,-0.606
BK1514.DC,20260401,水产养殖,大湖股份,600257.SH,1.99,6.1,1326910.5,2.44,3,1,行业板块,东财三级行业,0.75,2,4.574999999999999,1.83,24.378
BK1513.DC,20260401,海洋捕捞,开创国际,600097.SH,0.62,1.86,693314.5,1.85,2,1,行业板块,东财三级行业,0.6666666666666666,1,1.24,1.2333333333333334,20.680666666666667
BK1512.DC,20260401,生猪养殖,牧原股份,002714.SZ,-0.92,1.17,47469875.2,1.0,5,4,行业板块,东财三级行业,0.5555555555555556,1,0.65,0.5555555555555556,16.631777777777778
BK1511.DC,20260401,肉鸡养殖,仙坛股份,002746.SZ,1.29,2.01,6783270.0,1.3,8,0,行业板块,东财三级行业,1.0,8,2.01,1.3,31.049000000000003
BK1510.DC,20260401,其他养殖,华英农业,002321.SZ,-1.19,0.0,1113638.8,1.54,0,2,行业板块,东财三级行业,0.0,-2,0.0,0.0,-0.357
BK1509.DC,20260401,水产饲料,天马科技,603668.SH,1.84,3.07,9904485.0,1.45,4,0,行业板块,东财三级行业,1.0,4,3.07,1.45,31.456
BK1508.DC,20260401,畜禽饲料,金新农,002548.SZ,1.16,3.2,6122789.6,1.35,8,1,行业板块,东财三级行业,0.8888888888888888,7,2.8444444444444446,1.2,27.82355555555555
BK1507.DC,20260401,宠物食品,中宠股份,002891.SZ,4.34,6.42,3824750.3,3.74,4,0,行业板块,东财三级行业,1.0,4,6.42,3.74,33.333999999999996
BK1506.DC,20260401,农业综合Ⅲ,润农节水,920964.BJ,0.71,1.01,1184813.1,1.36,3,0,行业板块,东财三级行业,1.0,3,1.01,1.36,30.687
BK1505.DC,20260401,其他农产品加工,一致魔芋,920273.BJ,0.94,3.23,8254531.9,1.23,11,1,行业板块,东财三级行业,0.9166666666666666,10,2.960833333333333,1.1275,28.599666666666668
BK1504.DC,20260401,粮油加工,索宝蛋白,603231.SH,-1.01,1.39,18968185.9,4.02,3,5,行业板块,东财三级行业,0.375,-2,0.52125,1.5074999999999998,11.35275
BK1503.DC,20260401,果蔬加工,国投中鲁,600962.SH,-0.7,0.95,3377762.4,1.31,4,2,行业板块,东财三级行业,0.6666666666666666,2,0.6333333333333333,0.8733333333333333,20.09133333333333
BK1502.DC,20260401,林业Ⅲ,ST景谷,600265.SH,-2.46,2.44,3084152.4,19.71,1,3,行业板块,东财三级行业,0.25,-2,0.61,4.9275,7.8695
BK1501.DC,20260401,动物保健Ⅲ,回盛生物,300871.SZ,2.0,4.11,7072401.0,1.28,12,1,行业板块,东财三级行业,0.9230769230769231,11,3.7938461538461543,1.1815384615384616,29.28738461538462
BK1500.DC,20260401,医美耗材,锦波生物,920982.BJ,6.25,13.43,7611404.5,1.05,3,0,行业板块,东财三级行业,1.0,3,13.43,1.05,34.771
BK1499.DC,20260401,医美服务,*ST美谷,000615.SZ,-2.0,-2.0,613109.9,1.88,0,1,行业板块,东财三级行业,0.0,-1,-0.0,0.0,-0.6
BK1498.DC,20260401,品牌化妆品,上海家化,600315.SH,2.25,4.9,9722511.5,1.34,7,1,行业板块,东财三级行业,0.875,6,4.2875000000000005,1.1725,28.017000000000003
BK1497.DC,20260401,化妆品制造及其他,力合科创,002243.SZ,1.84,3.75,3152696.5,1.46,7,0,行业板块,东财三级行业,1.0,7,3.75,1.46,31.594
BK1496.DC,20260401,洗护用品,两面针,600249.SH,7.36,10.05,2273993.0,2.92,4,0,行业板块,东财三级行业,1.0,4,10.05,2.92,34.802
BK1495.DC,20260401,生活用纸,延江股份,300658.SZ,2.01,4.96,6573566.2,1.82,9,0,行业板块,东财三级行业,1.0,9,4.96,1.82,31.959000000000003
BK1494.DC,20260401,焦煤,淮北矿业,600985.SH,-0.35,1.7,20168868.5,2.11,4,6,行业板块,东财三级行业,0.4,-2,0.68,0.844,12.199799999999998
BK1493.DC,20260401,动力煤,甘肃能化,000552.SZ,0.05,4.17,195236334.4,1.07,6,8,行业板块,东财三级行业,0.42857142857142855,-2,1.787142857142857,0.4585714285714286,13.321285714285713
BK1492.DC,20260401,焦炭Ⅲ,美锦能源,000723.SZ,-2.16,1.06,6557493.9,3.23,2,5,行业板块,东财三级行业,0.2857142857142857,-3,0.3028571428571429,0.9228571428571428,8.168571428571429
BK1491.DC,20260401,端到端供应链服务,海晨股份,300873.SZ,0.47,2.7,2537020.8,2.27,6,1,行业板块,东财三级行业,0.8571428571428571,5,2.3142857142857145,1.9457142857142857,26.70728571428571
BK1490.DC,20260401,原材料供应链服务,广汇物流,600603.SH,0.81,4.22,12483849.5,1.08,7,3,行业板块,东财三级行业,0.7,4,2.9539999999999997,0.756,21.985
BK1489.DC,20260401,快递,申通快递,002468.SZ,0.89,2.23,30430739.2,0.63,4,0,行业板块,东财三级行业,1.0,4,2.23,0.63,30.839000000000002
