trade_date,index_code,index_name,open,high,low,close,pre_close,pct_chg,vol_hand,amount_yuan,source,as_of_date,ingested_at
20260603,000001.SH,,4068.3408,4107.0458,4059.9067,4083.974,4075.1016,0.2177,668452583.0,1429755844600.0,index_daily,20260618,2026-06-18T17:50:41
20260604,000001.SH,,4053.6702,4080.7178,4043.4331,4057.7811,4083.974,-0.6414,621194774.0,1274652182400.0,index_daily,20260618,2026-06-18T17:50:41
20260605,000001.SH,,4044.8292,4078.9317,4015.0629,4027.7362,4057.7811,-0.7404,662918577.0,1363887868500.0,index_daily,20260618,2026-06-18T17:50:41
20260608,000001.SH,,3938.7093,4007.493,3927.8527,3959.3378,4027.7362,-1.6982,659293555.0,1267277235700.0,index_daily,20260618,2026-06-18T17:50:41
20260609,000001.SH,,3977.5394,4010.8715,3955.908,4010.0307,3959.3378,1.2803,576570090.0,1173088930400.0,index_daily,20260618,2026-06-18T17:50:41
20260610,000001.SH,,3985.1244,4006.3127,3963.4417,3993.2258,4010.0307,-0.4191,598694739.0,1227070067100.0,index_daily,20260618,2026-06-18T17:50:41
20260611,000001.SH,,3979.7057,3997.4777,3958.4371,3987.0147,3993.2258,-0.1555,568545244.0,1185554610700.0,index_daily,20260618,2026-06-18T17:50:41
20260612,000001.SH,,4017.8648,4060.271,4008.1769,4031.5129,3987.0147,1.1161,743131092.0,1537401519400.0,index_daily,20260618,2026-06-18T17:50:41
20260615,000001.SH,,4053.5822,4097.1657,4051.0651,4096.4717,4031.5129,1.6113,678907811.0,1403586231200.0,index_daily,20260618,2026-06-18T17:50:41
20260616,000001.SH,,4094.2124,4103.9259,4077.8702,4091.8917,4096.4717,-0.1118,615668296.0,1369612989700.0,index_daily,20260618,2026-06-18T17:50:41
20260617,000001.SH,,4074.2913,4109.9579,4073.7319,4108.0762,4091.8917,0.3955,608077413.0,1403145909900.0,index_daily,20260618,2026-06-18T17:50:41
20260618,000001.SH,,4094.2301,4117.451,4080.2938,4090.4813,4108.0762,-0.4283,658116068.0,1560473972700.0,index_daily,20260618,2026-06-18T17:50:41
20251216,399001.SZ,,13084.8765,13113.9872,12851.2217,12914.6679,13112.0887,-1.5056,664521844.0,990879111800.0,index_daily,20260618,2026-06-18T17:50:41
20251217,399001.SZ,,12927.3938,13254.8091,12927.3938,13224.5136,12914.6679,2.3992,653501696.0,1044325059300.0,index_daily,20260618,2026-06-18T17:50:41
20251218,399001.SZ,,13112.6116,13205.2226,13053.9744,13053.9744,13224.5136,-1.2896,590116206.0,950587343400.0,index_daily,20260618,2026-06-18T17:50:41
20251219,399001.SZ,,13116.1869,13217.4356,13070.7252,13140.2144,13053.9744,0.6606,657127412.0,987848687100.0,index_daily,20260618,2026-06-18T17:50:41
20251222,399001.SZ,,13225.4013,13349.0815,13225.4013,13332.7313,13140.2144,1.4651,653549135.0,1072183327500.0,index_daily,20260618,2026-06-18T17:50:41
20251223,399001.SZ,,13338.9345,13447.2869,13305.7649,13368.9896,13332.7313,0.2719,674894657.0,1092987268500.0,index_daily,20260618,2026-06-18T17:50:41
20251224,399001.SZ,,13378.4827,13497.0983,13347.763,13486.4194,13368.9896,0.8784,640440440.0,1106339627500.0,index_daily,20260618,2026-06-18T17:50:41
20251225,399001.SZ,,13472.7044,13563.0565,13407.373,13531.4107,13486.4194,0.3336,660794062.0,1139504120000.0,index_daily,20260618,2026-06-18T17:50:41
20251226,399001.SZ,,13539.049,13674.8733,13517.8044,13603.8939,13531.4107,0.5357,741292909.0,1266547060100.0,index_daily,20260618,2026-06-18T17:50:41
20251229,399001.SZ,,13604.295,13650.701,13494.9567,13537.0962,13603.8939,-0.491,713871413.0,1235517815500.0,index_daily,20260618,2026-06-18T17:50:41
20251230,399001.SZ,,13466.3044,13645.556,13465.6741,13604.0673,13537.0962,0.4947,716223366.0,1254792193400.0,index_daily,20260618,2026-06-18T17:50:41
20251231,399001.SZ,,13627.264,13642.5272,13491.675,13525.0228,13604.0673,-0.581,713396441.0,1215630485900.0,index_daily,20260618,2026-06-18T17:50:41
20260105,399001.SZ,,13633.634,13828.9672,13633.634,13828.6296,13525.0228,2.2448,830357123.0,1478937004700.0,index_daily,20260618,2026-06-18T17:50:41
20260106,399001.SZ,,13830.3028,14024.1192,13827.7928,14022.552,13828.6296,1.4023,931832647.0,1630738606200.0,index_daily,20260618,2026-06-18T17:50:41
20260107,399001.SZ,,14062.0201,14111.1751,13935.5281,14030.5582,14022.552,0.0571,913575189.0,1656718096800.0,index_daily,20260618,2026-06-18T17:50:41
20260108,399001.SZ,,13971.892,14033.5937,13883.8078,13959.4825,14030.5582,-0.5066,920288377.0,1617076629200.0,index_daily,20260618,2026-06-18T17:50:41
20260109,399001.SZ,,13917.7821,14139.5363,13917.7821,14120.1512,13959.4825,1.151,1013527535.0,1833489098500.0,index_daily,20260618,2026-06-18T17:50:41
20260112,399001.SZ,,14186.8635,14391.2804,14089.5929,14366.9078,14120.1512,1.7475,1152643528.0,2155145897400.0,index_daily,20260618,2026-06-18T17:50:41
20260113,399001.SZ,,14397.6849,14458.8846,14113.1735,14169.3975,14366.9078,-1.3748,1195102023.0,2169410678500.0,index_daily,20260618,2026-06-18T17:50:41
20260114,399001.SZ,,14194.1123,14459.214,14099.9819,14248.5982,14169.3975,0.559,1312118729.0,2334347799400.0,index_daily,20260618,2026-06-18T17:50:41
20260115,399001.SZ,,14158.6624,14328.5958,14155.4978,14306.7251,14248.5982,0.4079,971527611.0,1729581264300.0,index_daily,20260618,2026-06-18T17:50:41
20260116,399001.SZ,,14374.5351,14424.3506,14257.5895,14281.0801,14306.7251,-0.1793,906894525.0,1688214998300.0,index_daily,20260618,2026-06-18T17:50:41
20260119,399001.SZ,,14221.9257,14392.8752,14221.9257,14294.0526,14281.0801,0.0908,832205018.0,1518210790600.0,index_daily,20260618,2026-06-18T17:50:41
20260120,399001.SZ,,14307.5519,14337.1246,14033.2235,14155.6283,14294.0526,-0.9684,881921908.0,1556171772100.0,index_daily,20260618,2026-06-18T17:50:41
20260121,399001.SZ,,14102.2116,14320.9354,14102.2116,14255.125,14155.6283,0.7029,793387852.0,1420414190400.0,index_daily,20260618,2026-06-18T17:50:41
20260122,399001.SZ,,14313.6345,14374.5106,14223.344,14327.0451,14255.125,0.5045,822514300.0,1489968420100.0,index_daily,20260618,2026-06-18T17:50:41
20260123,399001.SZ,,14349.0114,14449.8402,14320.5143,14439.6584,14327.0451,0.786,982699101.0,1748367006000.0,index_daily,20260618,2026-06-18T17:50:41
20260126,399001.SZ,,14492.4249,14532.8964,14277.6704,14316.6368,14439.6584,-0.852,1023228090.0,1796342758800.0,index_daily,20260618,2026-06-18T17:50:41
20260127,399001.SZ,,14283.7775,14403.5954,14105.1256,14329.906,14316.6368,0.0927,909686276.0,1605549118500.0,index_daily,20260618,2026-06-18T17:50:41
20260128,399001.SZ,,14371.9551,14411.6511,14234.8859,14342.8941,14329.906,0.0906,883025459.0,1599884232500.0,index_daily,20260618,2026-06-18T17:50:41
20260129,399001.SZ,,14332.7027,14418.0886,14252.1971,14300.076,14342.8941,-0.2985,993915563.0,1744212991700.0,index_daily,20260618,2026-06-18T17:50:41
20260130,399001.SZ,,14214.1408,14291.574,13923.9548,14205.8925,14300.076,-0.6586,902322925.0,1565681993100.0,index_daily,20260618,2026-06-18T17:50:41
20260202,399001.SZ,,14128.8678,14213.6125,13815.2819,13824.3512,14205.8925,-2.6858,811142363.0,1421232461600.0,index_daily,20260618,2026-06-18T17:50:41
20260203,399001.SZ,,13986.8946,14129.5971,13815.2286,14127.1059,13824.3512,2.19,782910934.0,1433511297100.0,index_daily,20260618,2026-06-18T17:50:41
20260204,399001.SZ,,14072.41,14173.7652,13958.0801,14156.2738,14127.1059,0.2065,815238780.0,1417426397900.0,index_daily,20260618,2026-06-18T17:50:41
